epoch,auc,binary_accuracy,loss,precision,recall,val_auc,val_binary_accuracy,val_loss,val_precision,val_recall
0,0.6036568880081177,0.6643887162208557,0.08355787396430969,0.6859421730041504,0.913681149482727,0.6980146169662476,0.691097617149353,0.08513511717319489,0.6893866062164307,0.9590175151824951
1,0.6936153173446655,0.70061856508255,0.07662691175937653,0.7044459581375122,0.9442332983016968,0.7219947576522827,0.7170435190200806,0.07206258177757263,0.7245451807975769,0.9293571710586548
2,0.7179591655731201,0.711424708366394,0.07682699710130692,0.7203760743141174,0.9220383167266846,0.7192200422286987,0.7210149168968201,0.07972487807273865,0.7290401458740234,0.9338213801383972
3,0.7275286316871643,0.7155446410179138,0.08311936259269714,0.7257200479507446,0.9129679799079895,0.7341138124465942,0.7142671346664429,0.0736810490489006,0.7194817066192627,0.919960081577301
4,0.7318782806396484,0.7165148854255676,0.07545863091945648,0.7292211055755615,0.9030874371528625,0.7351028919219971,0.7077394723892212,0.07680974155664444,0.7190014123916626,0.8926541805267334
5,0.7370070219039917,0.7217043042182922,0.07323329150676727,0.7345989942550659,0.903825044631958,0.7526118755340576,0.7382372617721558,0.0793188288807869,0.75504469871521,0.9060640335083008
6,0.7339012026786804,0.7219682335853577,0.07330768555402756,0.7355722784996033,0.9055467844009399,0.7409851551055908,0.7289524078369141,0.0728415697813034,0.7414294481277466,0.9073742032051086
7,0.739691972732544,0.7233359217643738,0.07335177063941956,0.7388784289360046,0.8988697528839111,0.7590723037719727,0.739632785320282,0.07333429157733917,0.7578868269920349,0.8966901302337646
8,0.7401904463768005,0.7290666103363037,0.07390852272510529,0.7446852326393127,0.9043834209442139,0.7589861154556274,0.7250300645828247,0.0663531944155693,0.7260782122612,0.9082474708557129
9,0.743841290473938,0.7249506711959839,0.07036292552947998,0.7392786145210266,0.8977482318878174,0.7518324851989746,0.7288366556167603,0.07198314368724823,0.7388505339622498,0.9119526743888855
